mote_id,monitored_time,on_time,tx_time,rx_time,int_time
5,65.0,1.0,1.0,0.0,0.0
6,65.0,2.0,1.0,0.0,0.0
7,65.0,1.0,0.0,0.0,0.0
8,65.0,2.0,1.0,0.0,0.0
9,65.0,2.0,1.0,0.0,0.0
10,65.0,2.0,1.0,0.0,0.0
0,68.0,1.0,0.0,0.0,0.0
1,68.0,1.0,0.0,0.0,0.0
2,68.0,1.0,0.0,0.0,0.0
3,68.0,1.0,1.0,0.0,0.0
4,68.0,1.0,0.0,0.0,0.0
5,68.0,1.0,1.0,0.0,0.0
6,68.0,2.0,1.0,0.0,0.0
7,68.0,1.0,0.0,0.0,0.0
8,68.0,2.0,1.0,0.0,0.0
9,68.0,2.0,1.0,0.0,0.0
10,68.0,2.0,1.0,0.0,0.0
0,68.0,1.0,0.0,0.0,0.0
1,68.0,1.0,0.0,0.0,0.0
2,68.0,1.0,0.0,0.0,0.0
3,68.0,1.0,1.0,0.0,0.0
4,68.0,1.0,0.0,0.0,0.0
5,68.0,1.0,1.0,0.0,0.0
6,68.0,2.0,1.0,0.0,0.0
7,68.0,1.0,0.0,0.0,0.0
8,68.0,2.0,1.0,0.0,0.0
9,68.0,2.0,1.0,0.0,0.0
10,68.0,2.0,1.0,0.0,0.0
0,69.0,1.0,0.0,0.0,0.0
1,69.0,1.0,0.0,0.0,0.0
2,69.0,1.0,0.0,0.0,0.0
3,69.0,1.0,1.0,0.0,0.0
4,69.0,1.0,0.0,0.0,0.0
5,69.0,1.0,1.0,0.0,0.0
6,69.0,2.0,1.0,0.0,0.0
7,69.0,1.0,0.0,0.0,0.0
8,69.0,2.0,1.0,0.0,0.0
9,69.0,2.0,1.0,0.0,0.0
10,69.0,2.0,1.0,0.0,0.0
0,70.0,1.0,0.0,0.0,0.0
1,70.0,1.0,0.0,0.0,0.0
2,70.0,1.0,0.0,0.0,0.0
3,70.0,1.0,1.0,0.0,0.0
4,70.0,1.0,0.0,0.0,0.0
5,70.0,1.0,1.0,0.0,0.0
6,70.0,2.0,1.0,0.0,0.0
7,70.0,1.0,0.0,0.0,0.0
8,70.0,2.0,1.0,0.0,0.0
9,70.0,2.0,1.0,0.0,0.0
10,70.0,2.0,1.0,0.0,0.0
0,72.0,1.0,0.0,0.0,0.0
1,72.0,1.0,0.0,0.0,0.0
2,72.0,1.0,0.0,0.0,0.0
3,72.0,1.0,1.0,0.0,0.0
4,72.0,1.0,0.0,0.0,0.0
5,72.0,1.0,1.0,0.0,0.0
6,72.0,2.0,1.0,0.0,0.0
7,72.0,1.0,0.0,0.0,0.0
8,72.0,2.0,1.0,0.0,0.0
9,72.0,2.0,1.0,0.0,0.0
10,72.0,3.0,1.0,0.0,0.0
0,73.0,1.0,0.0,0.0,0.0
1,73.0,1.0,0.0,0.0,0.0
2,73.0,1.0,0.0,0.0,0.0
3,73.0,1.0,1.0,0.0,0.0
4,73.0,1.0,0.0,0.0,0.0
5,73.0,1.0,1.0,0.0,0.0
6,73.0,2.0,1.0,0.0,0.0
7,73.0,1.0,0.0,0.0,0.0
8,73.0,2.0,1.0,0.0,0.0
9,73.0,2.0,1.0,0.0,0.0
10,73.0,3.0,1.0,0.0,0.0
0,85.0,1.0,0.0,0.0,0.0
1,85.0,1.0,0.0,0.0,0.0
2,85.0,1.0,0.0,0.0,0.0
3,85.0,2.0,1.0,0.0,0.0
4,85.0,1.0,0.0,0.0,0.0
5,85.0,2.0,1.0,0.0,0.0
6,85.0,2.0,1.0,0.0,0.0
7,85.0,1.0,0.0,0.0,0.0
8,85.0,2.0,1.0,0.0,0.0
9,85.0,3.0,1.0,0.0,0.0
10,85.0,3.0,1.0,0.0,0.0
0,85.0,1.0,0.0,0.0,0.0
1,85.0,1.0,0.0,0.0,0.0
2,85.0,1.0,0.0,0.0,0.0
3,85.0,2.0,1.0,0.0,0.0
4,85.0,1.0,0.0,0.0,0.0
5,85.0,2.0,1.0,0.0,0.0
6,85.0,2.0,1.0,0.0,0.0
7,85.0,1.0,0.0,0.0,0.0
8,85.0,2.0,1.0,0.0,0.0
9,85.0,3.0,1.0,0.0,0.0
10,85.0,3.0,1.0,0.0,0.0
0,86.0,1.0,0.0,0.0,0.0
1,86.0,1.0,0.0,0.0,0.0
2,86.0,1.0,0.0,0.0,0.0
3,86.0,2.0,1.0,0.0,0.0
4,86.0,1.0,0.0,0.0,0.0
5,86.0,2.0,1.0,0.0,0.0
6,86.0,2.0,1.0,0.0,0.0
7,86.0,1.0,0.0,0.0,0.0
8,86.0,2.0,1.0,0.0,0.0
9,86.0,3.0,1.0,0.0,0.0
10,86.0,3.0,1.0,0.0,0.0
0,86.0,1.0,0.0,0.0,0.0
1,86.0,1.0,0.0,0.0,0.0
2,86.0,1.0,0.0,0.0,0.0
3,86.0,2.0,1.0,0.0,0.0
4,86.0,1.0,0.0,0.0,0.0
5,86.0,2.0,1.0,0.0,0.0
6,86.0,2.0,1.0,0.0,0.0
7,86.0,1.0,0.0,0.0,0.0
8,86.0,2.0,1.0,0.0,0.0
9,86.0,3.0,1.0,0.0,0.0
10,86.0,3.0,1.0,0.0,0.0
0,86.0,1.0,0.0,0.0,0.0
1,86.0,1.0,0.0,0.0,0.0
2,86.0,1.0,0.0,0.0,0.0
3,86.0,2.0,1.0,0.0,0.0
4,86.0,1.0,0.0,0.0,0.0
5,86.0,2.0,1.0,0.0,0.0
6,86.0,2.0,1.0,0.0,0.0
7,86.0,1.0,0.0,0.0,0.0
8,86.0,2.0,1.0,0.0,0.0
9,86.0,3.0,1.0,0.0,0.0
10,86.0,3.0,1.0,0.0,0.0
0,86.0,1.0,0.0,0.0,0.0
1,86.0,1.0,0.0,0.0,0.0
2,86.0,1.0,0.0,0.0,0.0
3,86.0,2.0,1.0,0.0,0.0
4,86.0,1.0,0.0,0.0,0.0
5,86.0,2.0,1.0,0.0,0.0
6,86.0,2.0,1.0,0.0,0.0
7,86.0,1.0,0.0,0.0,0.0
8,86.0,2.0,1.0,0.0,0.0
9,86.0,3.0,1.0,0.0,0.0
10,86.0,3.0,1.0,0.0,0.0
0,86.0,1.0,0.0,0.0,0.0
1,86.0,1.0,0.0,0.0,0.0
2,86.0,1.0,0.0,0.0,0.0
3,86.0,2.0,1.0,0.0,0.0
4,86.0,1.0,0.0,0.0,0.0
5,86.0,2.0,1.0,0.0,0.0
6,86.0,2.0,1.0,0.0,0.0
7,86.0,1.0,0.0,0.0,0.0
8,86.0,2.0,1.0,0.0,0.0
9,86.0,3.0,1.0,0.0,0.0
10,86.0,3.0,1.0,0.0,0.0
0,86.0,1.0,0.0,0.0,0.0
1,86.0,1.0,0.0,0.0,0.0
2,86.0,1.0,0.0,0.0,0.0
3,86.0,2.0,1.0,0.0,0.0
4,86.0,1.0,0.0,0.0,0.0
5,86.0,2.0,1.0,0.0,0.0
6,86.0,2.0,1.0,0.0,0.0
